Years,Geo_Level,State_ANSI,Commodity_ID,Quantity
2001,STATE,53,2,2496000
2001,STATE,54,2,455000
2001,STATE,55,2,5427000
2001,STATE,56,2,2926000
2000,STATE,1,2,1248000
2000,STATE,4,2,2360000
2000,STATE,5,2,4836000
2000,STATE,6,2,30800000
2000,STATE,8,2,1740000
2000,STATE,12,2,24360000
2000,STATE,13,2,3135000
2000,STATE,15,2,784000
2000,STATE,16,2,4700000
2000,STATE,17,2,488000
2000,STATE,18,2,520000
2000,STATE,19,2,2010000
2000,STATE,20,2,1020000
2000,STATE,21,2,192000
2000,STATE,22,2,4042000
2000,STATE,23,2,231000
2000,STATE,24,2,276000
2000,STATE,26,2,5400000
2000,STATE,27,2,13500000
2000,STATE,28,2,1224000
2000,STATE,29,2,1725000
2000,STATE,30,2,10912000
2000,STATE,31,2,4350000
2000,STATE,32,2,350000
2000,STATE,34,2,385000
2000,STATE,35,2,960000
2000,STATE,36,2,4640000
2000,STATE,37,2,539000
2000,STATE,38,2,34500000
2000,STATE,39,2,1170000
2000,STATE,40,2,245000
2000,STATE,41,2,2448000
2000,STATE,,2,728000
